LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default,USER_ID
100000.0,2,2,1,34,-1,2,-1,-1,0,0,296.0,148.0,620.0,296.0,148.0,0.0,0.0,620.0,296.0,0.0,0.0,563.0,1,1fd60a76-ee34-11ec-b1e2-00163e114b1c
220000.0,2,1,2,30,-1,-1,-1,0,0,-1,15069.0,0.0,14129.0,28246.0,9995.0,198.0,680.0,14129.0,16000.0,5000.0,198.0,14952.0,1,1fd60c92-ee34-11ec-b1e2-00163e114b1c
260000.0,1,1,2,34,-1,-1,-1,-1,-1,-1,324.0,826.0,326.0,326.0,326.0,476.0,828.0,326.0,326.0,326.0,476.0,326.0,1,1fd60d64-ee34-11ec-b1e2-00163e114b1c
20000.0,2,2,1,58,-1,-1,-1,-1,-2,-1,17895.0,13576.0,18286.0,-200.0,0.0,18486.0,13605.0,19352.0,0.0,200.0,18486.0,5656.0,1,1fd60e0e-ee34-11ec-b1e2-00163e114b1c
50000.0,2,1,2,22,1,2,0,0,0,0,4112.0,3900.0,7737.0,3406.0,1470.0,1500.0,0.0,4019.0,2500.0,0.0,30.0,0.0,1,1fd60f1c-ee34-11ec-b1e2-00163e114b1c
90000.0,2,1,2,27,-1,-1,-2,-2,-2,-2,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1fd61052-ee34-11ec-b1e2-00163e114b1c
140000.0,1,1,1,55,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1fd61160-ee34-11ec-b1e2-00163e114b1c
50000.0,1,2,2,23,0,0,0,0,0,0,28569.0,27693.0,20401.0,17510.0,18038.0,16145.0,1400.0,1600.0,600.0,771.0,1000.0,305.0,1,1fd6120a-ee34-11ec-b1e2-00163e114b1c
310000.0,2,1,2,26,-2,-2,-2,-2,-2,-2,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1fd61296-ee34-11ec-b1e2-00163e114b1c
140000.0,1,2,1,29,0,0,0,0,0,0,130767.0,134946.0,130470.0,132038.0,131961.0,124256.0,6696.0,5000.0,4866.0,5300.0,5055.0,5000.0,1,1fd61336-ee34-11ec-b1e2-00163e114b1c
300000.0,2,2,2,27,0,0,0,0,0,-1,15024.0,12128.0,9775.0,7347.0,4026.0,4851.0,1200.0,1164.0,1069.0,81.0,4851.0,3333.0,1,1fd613cc-ee34-11ec-b1e2-00163e114b1c
220000.0,1,3,1,63,-2,-2,-2,-2,-2,-2,1293.0,494.0,1379.0,-1.0,272.0,1628.0,496.0,1385.0,0.0,273.0,1636.0,531.0,1,1fd614c6-ee34-11ec-b1e2-00163e114b1c
50000.0,1,2,2,29,-1,0,0,0,0,0,10498.0,8238.0,6411.0,5341.0,3483.0,4093.0,1345.0,1000.0,2000.0,1000.0,1000.0,2000.0,1,1fd615de-ee34-11ec-b1e2-00163e114b1c
500000.0,2,2,1,48,0,0,0,0,0,0,39734.0,149570.0,137549.0,130893.0,108030.0,144938.0,117243.0,4500.0,4500.0,5000.0,50000.0,4578.0,1,1fd6169c-ee34-11ec-b1e2-00163e114b1c
50000.0,2,1,2,30,0,0,0,0,0,2,14811.0,16262.0,17286.0,17895.0,19450.0,18990.0,2000.0,1600.0,1200.0,2000.0,0.0,1000.0,1,1fd6173c-ee34-11ec-b1e2-00163e114b1c
320000.0,2,2,2,37,-2,-2,-2,-2,-2,-2,-5700.0,-5700.0,-5700.0,197300.0,-2300.0,227835.0,0.0,0.0,203000.0,400.0,310135.0,1000.0,1,1fd617d2-ee34-11ec-b1e2-00163e114b1c
440000.0,2,2,2,34,-2,-2,-2,-2,-2,-2,0.0,200.0,751.0,2674.0,317.0,565.0,200.0,751.0,2700.0,320.0,570.0,0.0,1,1fd61a0c-ee34-11ec-b1e2-00163e114b1c
110000.0,1,1,2,30,0,0,0,0,0,0,110800.0,112008.0,96347.0,49506.0,49142.0,49251.0,4404.0,2826.0,1880.0,1805.0,2182.0,2000.0,1,1fd61b56-ee34-11ec-b1e2-00163e114b1c
210000.0,1,1,2,30,0,0,0,0,0,0,69937.0,71906.0,43308.0,44584.0,47842.0,49888.0,3500.0,3000.0,2000.0,4000.0,3000.0,10000.0,1,1fd61c5a-ee34-11ec-b1e2-00163e114b1c
210000.0,2,1,2,32,1,-1,2,2,-1,-1,0.0,92.0,4.0,0.0,45.0,23.0,92.0,0.0,0.0,45.0,23.0,0.0,0,1fd61d22-ee34-11ec-b1e2-00163e114b1c
280000.0,2,2,1,42,-2,-2,-2,-2,-2,-2,396.0,396.0,396.0,396.0,10948.0,61123.0,396.0,396.0,396.0,10948.0,61123.0,54802.0,1,1fd61db8-ee34-11ec-b1e2-00163e114b1c
80000.0,2,2,2,29,0,0,0,0,0,0,60857.0,46724.0,35074.0,32812.0,25930.0,26414.0,2000.0,2000.0,2000.0,1100.0,1000.0,1100.0,1,1fd61e4e-ee34-11ec-b1e2-00163e114b1c
30000.0,1,3,2,37,1,2,2,0,0,0,24095.0,24796.0,23722.0,24630.0,24934.0,25264.0,1398.0,0.0,1696.0,1000.0,1500.0,500.0,1,1fd61eda-ee34-11ec-b1e2-00163e114b1c
200000.0,1,1,1,37,-1,0,0,0,0,0,173867.0,139769.0,132534.0,116331.0,111178.0,105907.0,7000.0,5000.0,4500.0,5000.0,5000.0,4300.0,1,1fd61f66-ee34-11ec-b1e2-00163e114b1c
50000.0,1,5,2,46,0,0,0,-1,0,0,49336.0,49623.0,19900.0,19183.0,19563.0,19157.0,1423.0,1000.0,19183.0,687.0,696.0,776.0,1,1fd61ffc-ee34-11ec-b1e2-00163e114b1c
350000.0,2,1,1,50,-1,-1,-1,-1,-1,-1,50376.0,20717.0,10133.0,28858.0,8693.0,9194.0,20717.0,10173.0,28858.0,8693.0,9194.0,17436.0,1,1fd620ba-ee34-11ec-b1e2-00163e114b1c
390000.0,2,5,2,45,0,0,0,0,0,0,184547.0,179819.0,162571.0,167832.0,205750.0,212634.0,6645.0,5782.0,7782.0,42393.0,10414.0,7422.0,1,1fd6215a-ee34-11ec-b1e2-00163e114b1c
180000.0,1,3,2,39,0,0,0,0,0,0,51496.0,51588.0,51869.0,52999.0,52096.0,52704.0,1838.0,2000.0,2468.0,1850.0,1909.0,1902.0,1,1fd621e6-ee34-11ec-b1e2-00163e114b1c
